date,vaccine,total_vaccinations,location
2021-03-24,Pfizer/BioNTech,696894,Switzerland
2021-03-25,Pfizer/BioNTech,710787,Switzerland
2021-03-26,Pfizer/BioNTech,725620,Switzerland
2021-03-27,Pfizer/BioNTech,728917,Switzerland
2021-03-28,Pfizer/BioNTech,731216,Switzerland
2021-03-29,Pfizer/BioNTech,743952,Switzerland
2021-03-30,Pfizer/BioNTech,759578,Switzerland
2021-03-31,Pfizer/BioNTech,775625,Switzerland
2021-04-01,Pfizer/BioNTech,793337,Switzerland
2021-04-02,Pfizer/BioNTech,798442,Switzerland
2021-04-03,Pfizer/BioNTech,802573,Switzerland
2021-04-04,Pfizer/BioNTech,803689,Switzerland
2021-04-05,Pfizer/BioNTech,807489,Switzerland
2021-04-06,Pfizer/BioNTech,828387,Switzerland
2021-04-07,Pfizer/BioNTech,853539,Switzerland
2021-04-08,Pfizer/BioNTech,880078,Switzerland
2021-04-09,Pfizer/BioNTech,902342,Switzerland
2021-04-10,Pfizer/BioNTech,907830,Switzerland
2021-04-11,Pfizer/BioNTech,910120,Switzerland
2021-04-12,Pfizer/BioNTech,936796,Switzerland
2021-04-13,Pfizer/BioNTech,967411,Switzerland
2021-04-14,Pfizer/BioNTech,998845,Switzerland
2021-04-15,Pfizer/BioNTech,1028563,Switzerland
2021-04-16,Pfizer/BioNTech,1055744,Switzerland
2021-04-17,Pfizer/BioNTech,1062655,Switzerland
2021-04-18,Pfizer/BioNTech,1067357,Switzerland
2021-04-19,Pfizer/BioNTech,1098078,Switzerland
2021-04-20,Pfizer/BioNTech,1132044,Switzerland
2021-04-21,Pfizer/BioNTech,1165675,Switzerland
2021-04-22,Pfizer/BioNTech,1197657,Switzerland
2021-04-23,Pfizer/BioNTech,1229498,Switzerland
2021-04-24,Pfizer/BioNTech,1238873,Switzerland
2021-04-25,Pfizer/BioNTech,1245288,Switzerland
2021-04-26,Pfizer/BioNTech,1272702,Switzerland
2021-04-27,Pfizer/BioNTech,1306259,Switzerland
2021-04-28,Pfizer/BioNTech,1341184,Switzerland
2021-04-29,Pfizer/BioNTech,1373386,Switzerland
2021-04-30,Pfizer/BioNTech,1402017,Switzerland
2021-05-01,Pfizer/BioNTech,1414720,Switzerland
2021-05-02,Pfizer/BioNTech,1421058,Switzerland
2021-05-03,Pfizer/BioNTech,1453446,Switzerland
2021-05-04,Pfizer/BioNTech,1490024,Switzerland
2021-05-05,Pfizer/BioNTech,1524008,Switzerland
2021-05-06,Pfizer/BioNTech,1559521,Switzerland
2021-05-07,Pfizer/BioNTech,1589071,Switzerland
2021-05-08,Pfizer/BioNTech,1603779,Switzerland
2021-05-09,Pfizer/BioNTech,1609461,Switzerland
2021-05-10,Pfizer/BioNTech,1642334,Switzerland
2021-05-11,Pfizer/BioNTech,1680287,Switzerland
2021-05-12,Pfizer/BioNTech,1717917,Switzerland
2021-05-13,Pfizer/BioNTech,1735246,Switzerland
2021-05-14,Pfizer/BioNTech,1764760,Switzerland
2021-05-15,Pfizer/BioNTech,1779433,Switzerland
2021-05-16,Pfizer/BioNTech,1786827,Switzerland
2021-05-17,Pfizer/BioNTech,1820206,Switzerland
2021-05-18,Pfizer/BioNTech,1857650,Switzerland
2021-05-19,Pfizer/BioNTech,1892210,Switzerland
2021-05-20,Pfizer/BioNTech,1926824,Switzerland
2021-05-21,Pfizer/BioNTech,1960732,Switzerland
2021-05-22,Pfizer/BioNTech,1974599,Switzerland
2021-05-23,Pfizer/BioNTech,1979341,Switzerland
2021-05-24,Pfizer/BioNTech,1995658,Switzerland
2021-05-25,Pfizer/BioNTech,2031499,Switzerland
2021-05-26,Pfizer/BioNTech,2067470,Switzerland
2021-05-27,Pfizer/BioNTech,2099769,Switzerland
2021-05-28,Pfizer/BioNTech,2132800,Switzerland
2021-05-29,Pfizer/BioNTech,2148785,Switzerland
2021-05-30,Pfizer/BioNTech,2157853,Switzerland
2021-05-31,Pfizer/BioNTech,2191736,Switzerland
2021-06-01,Pfizer/BioNTech,2227226,Switzerland
2021-06-02,Pfizer/BioNTech,2258110,Switzerland
2021-06-03,Pfizer/BioNTech,2282614,Switzerland
2021-06-04,Pfizer/BioNTech,2307927,Switzerland
2021-06-05,Pfizer/BioNTech,2325896,Switzerland
2021-06-06,Pfizer/BioNTech,2333445,Switzerland
2021-06-07,Pfizer/BioNTech,2356935,Switzerland
2021-06-08,Pfizer/BioNTech,2381541,Switzerland
2021-06-09,Pfizer/BioNTech,2405889,Switzerland
2021-06-10,Pfizer/BioNTech,2427857,Switzerland
2021-06-11,Pfizer/BioNTech,2453033,Switzerland
2021-06-12,Pfizer/BioNTech,2470611,Switzerland
2021-06-13,Pfizer/BioNTech,2478092,Switzerland
2021-06-14,Pfizer/BioNTech,2499814,Switzerland
2021-06-15,Pfizer/BioNTech,2520667,Switzerland
2021-06-16,Pfizer/BioNTech,2539084,Switzerland
2021-06-17,Pfizer/BioNTech,2557608,Switzerland
2021-06-18,Pfizer/BioNTech,2577543,Switzerland
2021-06-19,Pfizer/BioNTech,2593123,Switzerland
2021-06-20,Pfizer/BioNTech,2597956,Switzerland
2021-06-21,Pfizer/BioNTech,2614966,Switzerland
2021-06-22,Pfizer/BioNTech,2630875,Switzerland
2021-06-23,Pfizer/BioNTech,2645593,Switzerland
2021-06-24,Pfizer/BioNTech,2660492,Switzerland
2021-06-25,Pfizer/BioNTech,2677597,Switzerland
2021-06-26,Pfizer/BioNTech,2687740,Switzerland
2021-06-27,Pfizer/BioNTech,2692515,Switzerland
2021-06-28,Pfizer/BioNTech,2704867,Switzerland
2021-06-29,Pfizer/BioNTech,2719061,Switzerland
2021-06-30,Pfizer/BioNTech,2733011,Switzerland
2021-07-01,Pfizer/BioNTech,2744841,Switzerland
2021-07-02,Pfizer/BioNTech,2755379,Switzerland
2021-07-03,Pfizer/BioNTech,2762973,Switzerland
2021-07-04,Pfizer/BioNTech,2766081,Switzerland
2021-07-05,Pfizer/BioNTech,2778498,Switzerland
2021-07-06,Pfizer/BioNTech,2789927,Switzerland
2021-07-07,Pfizer/BioNTech,2801683,Switzerland
2021-07-08,Pfizer/BioNTech,2813534,Switzerland
2021-07-09,Pfizer/BioNTech,2827152,Switzerland
2021-07-10,Pfizer/BioNTech,2836481,Switzerland
2021-07-11,Pfizer/BioNTech,2838767,Switzerland
2021-07-12,Pfizer/BioNTech,2853324,Switzerland
