date,vaccine,total_vaccinations,location
2021-03-27,Oxford/AstraZeneca,216783,Czechia
2021-03-27,Johnson&Johnson,18,Czechia
2021-03-27,Moderna,140557,Czechia
2021-03-28,Moderna,142115,Czechia
2021-03-28,Oxford/AstraZeneca,216910,Czechia
2021-03-28,Pfizer/BioNTech,1237387,Czechia
2021-03-29,Johnson&Johnson,19,Czechia
2021-03-29,Moderna,148116,Czechia
2021-03-29,Oxford/AstraZeneca,220683,Czechia
2021-03-29,Pfizer/BioNTech,1267265,Czechia
2021-03-30,Pfizer/BioNTech,1299752,Czechia
2021-03-30,Moderna,156966,Czechia
2021-03-30,Oxford/AstraZeneca,226053,Czechia
2021-03-31,Pfizer/BioNTech,1333766,Czechia
2021-03-31,Oxford/AstraZeneca,231028,Czechia
2021-03-31,Johnson&Johnson,22,Czechia
2021-03-31,Moderna,167975,Czechia
2021-04-01,Johnson&Johnson,26,Czechia
2021-04-01,Moderna,178673,Czechia
2021-04-01,Oxford/AstraZeneca,235599,Czechia
2021-04-01,Pfizer/BioNTech,1375934,Czechia
2021-04-02,Oxford/AstraZeneca,236173,Czechia
2021-04-02,Johnson&Johnson,36,Czechia
2021-04-02,Moderna,181207,Czechia
2021-04-02,Pfizer/BioNTech,1392418,Czechia
2021-04-03,Pfizer/BioNTech,1404971,Czechia
2021-04-03,Oxford/AstraZeneca,236387,Czechia
2021-04-03,Moderna,182909,Czechia
2021-04-03,Johnson&Johnson,37,Czechia
2021-04-04,Moderna,184123,Czechia
2021-04-04,Oxford/AstraZeneca,236393,Czechia
2021-04-04,Pfizer/BioNTech,1415005,Czechia
2021-04-05,Johnson&Johnson,39,Czechia
2021-04-05,Moderna,185523,Czechia
2021-04-05,Oxford/AstraZeneca,236464,Czechia
2021-04-05,Pfizer/BioNTech,1423031,Czechia
2021-04-06,Johnson&Johnson,44,Czechia
2021-04-06,Moderna,193985,Czechia
2021-04-06,Oxford/AstraZeneca,239454,Czechia
2021-04-06,Pfizer/BioNTech,1456796,Czechia
