date,vaccine,total_vaccinations,location
2021-05-28,Oxford/AstraZeneca,7068355,Italy
2021-05-28,Pfizer/BioNTech,23209074,Italy
2021-05-29,Johnson&Johnson,584134,Italy
2021-05-29,Moderna,3138409,Italy
2021-05-29,Oxford/AstraZeneca,7144210,Italy
2021-05-29,Pfizer/BioNTech,23581721,Italy
2021-05-30,Johnson&Johnson,603023,Italy
2021-05-30,Moderna,3178666,Italy
2021-05-30,Oxford/AstraZeneca,7194721,Italy
2021-05-30,Pfizer/BioNTech,23874431,Italy
2021-05-31,Johnson&Johnson,659515,Italy
2021-05-31,Moderna,3265738,Italy
2021-05-31,Oxford/AstraZeneca,7270663,Italy
2021-05-31,Pfizer/BioNTech,24134802,Italy
2021-06-01,Johnson&Johnson,726687,Italy
2021-06-01,Moderna,3348311,Italy
2021-06-01,Oxford/AstraZeneca,7337247,Italy
2021-06-01,Pfizer/BioNTech,24387142,Italy
2021-06-02,Johnson&Johnson,764587,Italy
2021-06-02,Moderna,3395511,Italy
2021-06-02,Oxford/AstraZeneca,7375122,Italy
2021-06-02,Pfizer/BioNTech,24676201,Italy
2021-06-03,Johnson&Johnson,802477,Italy
2021-06-03,Moderna,3448297,Italy
2021-06-03,Oxford/AstraZeneca,7439784,Italy
2021-06-03,Pfizer/BioNTech,25118241,Italy
2021-06-04,Johnson&Johnson,850312,Italy
2021-06-04,Moderna,3506629,Italy
2021-06-04,Oxford/AstraZeneca,7502599,Italy
2021-06-04,Pfizer/BioNTech,25581836,Italy
2021-06-05,Johnson&Johnson,907566,Italy
2021-06-05,Moderna,3550654,Italy
2021-06-05,Oxford/AstraZeneca,7568123,Italy
2021-06-05,Pfizer/BioNTech,26033495,Italy
2021-06-06,Johnson&Johnson,956619,Italy
2021-06-06,Moderna,3581048,Italy
2021-06-06,Oxford/AstraZeneca,7635831,Italy
2021-06-06,Pfizer/BioNTech,26398617,Italy
2021-06-07,Johnson&Johnson,993940,Italy
2021-06-07,Moderna,3627353,Italy
2021-06-07,Oxford/AstraZeneca,7711384,Italy
2021-06-07,Pfizer/BioNTech,26810558,Italy
2021-06-08,Johnson&Johnson,1034854,Italy
2021-06-08,Moderna,3688616,Italy
2021-06-08,Oxford/AstraZeneca,7792017,Italy
2021-06-08,Pfizer/BioNTech,27209895,Italy
2021-06-09,Johnson&Johnson,1073265,Italy
2021-06-09,Moderna,3756039,Italy
2021-06-09,Oxford/AstraZeneca,7878159,Italy
2021-06-09,Pfizer/BioNTech,27611948,Italy
2021-06-10,Johnson&Johnson,1106144,Italy
2021-06-10,Moderna,3799014,Italy
2021-06-10,Oxford/AstraZeneca,7953394,Italy
2021-06-10,Pfizer/BioNTech,28094442,Italy
2021-06-11,Johnson&Johnson,1130097,Italy
2021-06-11,Moderna,3838327,Italy
