iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
LVA,Europe,Latvia,2021-08-19,140651.0,146.0,119.571,2567.0,1.0,0.857,74568.365,77.404,63.393,1360.936,0.53,0.454,1.23,,,58.0,30.75,18.786,9.96,46.471,24.637,10234.0,3212193.0,1702.995,5.426,8207.0,4.351,0.013,79.1,tests performed,1441508.0,821688.0,728979.0,,5733.0,4609.0,76.42,43.56,38.65,,2444.0,41.67,1886202.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,
LBN,Asia,Lebanon,2021-08-19,588578.0,1993.0,1458.714,7999.0,6.0,5.286,86232.95,291.996,213.717,1171.939,0.879,0.774,1.16,,,,,,,,,,,,,,,,,,2257960.0,1254059.0,1003901.0,,14196.0,13189.0,33.08,18.37,14.71,,1932.0,,6825442.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,
LSO,Africa,Lesotho,2021-08-19,14370.0,18.0,72.571,400.0,1.0,1.286,6707.894,8.402,33.876,186.719,0.467,0.6,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.19,2142252.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,
LBR,Africa,Liberia,2021-08-19,5459.0,0.0,0.0,148.0,0.0,0.0,1079.349,0.0,0.0,29.262,0.0,0.0,0.03,,,,,,,,,,,,,,,,,,101071.0,86288.0,14783.0,,,161.0,2.0,1.71,0.29,,32.0,46.3,5057677.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,
LBY,Africa,Libya,2021-08-19,291168.0,1949.0,2061.286,4001.0,33.0,23.714,42374.594,283.644,299.985,582.278,4.803,3.451,0.98,,,,,,,,,9610.0,,,1.399,,,,,samples tested,889957.0,837907.0,52050.0,,,13969.0,12.95,12.19,0.76,,2033.0,,6871287.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,
LIE,Europe,Liechtenstein,2021-08-19,3198.0,13.0,10.143,59.0,0.0,0.0,83855.573,340.876,265.958,1547.054,0.0,0.0,1.68,,,,,,,,,98.0,59349.0,1556.205,2.57,133.0,3.487,0.069,14.5,tests performed,41498.0,21413.0,20355.0,,285.0,203.0,108.81,56.15,53.37,,5323.0,,38137.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,
LTU,Europe,Lithuania,2021-08-19,291969.0,557.0,542.286,4466.0,5.0,4.0,107251.209,204.607,199.202,1640.53,1.837,1.469,1.27,,,334.0,122.691,30.203,11.095,134.454,49.39,14429.0,4364220.0,1603.142,5.3,13942.0,5.121,0.04,25.0,tests performed,2989653.0,1585632.0,1404021.0,,25799.0,18443.0,109.82,58.25,51.57,,6775.0,,2722291.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,
LUX,Europe,Luxembourg,2021-08-19,74918.0,63.0,53.286,830.0,1.0,0.429,119681.905,100.643,85.124,1325.929,1.598,0.685,1.01,6.0,9.585,25.0,39.938,,,12.997,20.763,4305.0,3357318.0,5363.333,6.877,4175.0,6.67,0.011,87.8,tests performed,748777.0,400727.0,348050.0,,1462.0,1531.0,119.62,64.02,55.6,,2446.0,37.96,625976.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,
MAC,Asia,Macao,2021-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,568863.0,313538.0,257174.0,,4681.0,4111.0,87.61,48.29,39.61,,6331.0,,649342.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,
MDG,Africa,Madagascar,2021-08-19,42836.0,4.0,5.857,954.0,0.0,0.571,1546.928,0.144,0.212,34.452,0.0,0.021,0.49,,,,,,,,,506.0,232478.0,8.395,0.018,505.0,0.018,0.03,33.3,tests performed,,,,,,,,,,,,53.7,27691019.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,
